signature_id	species	function_label	perturbation_genes	split_group	split	assay_type	source	subseries	subseries_response_class	target_raw	target_stable_id	target_resolution_method	target_resolution_candidates	target_ncbi_gene_id	final_matrix_sample_titles	source_sample_titles	source_title_match_methods	source_title_removed_prefixes	source_gsm_accessions	n_source_arrays	mutant_channels	dye_swap_complete	control_sources	platform	benchmark_ready	benchmark_blocker	mapping_status	label_policy	primary_label_score	candidate_label_count	split_origin	benchmark_eligible	input_function_label	subseries_response_class_role
GSE42526:NRG2	yeast	GO:0007155	YBR066C	YPG_a62cab7ebdba	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	NRG2	YBR066C	gpl11232_primary_name			nrg2-del-1-a;nrg2-del-1-b	nrg2-del-1-a;nrg2-del-1-b	exact;exact	;	GSM819589;GSM819590	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.50156549101	2	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:PRR1	yeast	GO:0006355	YKL116C	YPG_df7427aa2dbd	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	PRR1	YKL116C	gpl11232_primary_name			prr1-del-1-b;prr1-del-1-a	prr1-del-1-b;prr1-del-1-a	exact;exact	;	GSM630248;GSM630247	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.49967586894	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:SIP1	yeast	GO:0023052	YDR422C	YPG_eb5181b12a51	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	SIP1	YDR422C	gpl11232_primary_name			sip1-del-1-a;sip1-del-1-b	sip1-del-1-a;sip1-del-1-b	exact;exact	;	GSM819634;GSM819635	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.45232138702	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:FBP1	yeast	GO:0005975	YLR377C	YPG_e737d2880d46	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	FBP1	YLR377C	gpl11232_primary_name			fbp1-del-2-a;fbp1-del-2-b	fbp1-del-2-a;fbp1-del-2-b	exact;exact	;	GSM819524;GSM819525	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.11037013978	4	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:ASI1	yeast	GO:0030163	YMR119W	YPG_c05a2e1d3059	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	ASI1	YMR119W	gpl11232_primary_name			asi1-del-2-b;asi1-del-2-a	[hs1990] asi1-del-2-b;[hs1990] asi1-del-2-a	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106150;GSM1106149	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.28688294119	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:MIG3	yeast	GO:0006355	YER028C	YPG_2b14c40efa6f	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	MIG3	YER028C	gpl11232_primary_name			mig3-del-2-a;mig3-del-2-b	[hs1990] mig3-del-2-a;[hs1990] mig3-del-2-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106518;GSM1106519	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.66630652104	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:SOK1	yeast	GO:0023052	YDR006C	YPG_9d07df179d33	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	SOK1	YDR006C	gpl11232_primary_name			sok1-del-2-a;sok1-del-2-b	[hs1990] sok1-del-2-a;[hs1990] sok1-del-2-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106802;GSM1106803	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.05874229114	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:GDB1	yeast	GO:0006091	YPR184W	YPG_391ff00a3298	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	GDB1	YPR184W	gpl11232_primary_name			gdb1-del-1-a	gdb1-del-1-a	exact		GSM819530	1	ch2	0	refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.23673047736	2	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:PTC2	yeast	GO:0023052	YER089C	YPG_e46415766007	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	PTC2	YER089C	gpl11232_primary_name			ptc2-del-1-a;ptc2-del-1-b	ptc2-del-1-a;ptc2-del-1-b	exact;exact	;	GSM630265;GSM630266	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	0.944008901564	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:JHD1	yeast	GO:0006325	YER051W	YPG_fd0c7f5be3c4	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	JHD1	YER051W	gpl11232_primary_name			jhd1-del-2-a;jhd1-del-2-b	jhd1-del-2-a;jhd1-del-2-b	exact;exact	;	GSM636464;GSM636465	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.65308034386	2	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
