target_id	inchikey
OR1E2	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR1E1	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR10G4	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR10G9	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR10G7	CLQPEZWMMZFTBG-UHFFFAOYSA-N
RYR3	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR8U9	CLQPEZWMMZFTBG-UHFFFAOYSA-N
ITPR3	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR4D2	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR6T1	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR8U1	CLQPEZWMMZFTBG-UHFFFAOYSA-N
RYR2	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR12D2	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR2W3	CLQPEZWMMZFTBG-UHFFFAOYSA-N
ITPR2	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR4D6	CLQPEZWMMZFTBG-UHFFFAOYSA-N
OR4K1	CLQPEZWMMZFTBG-UHFFFAOYSA-N
