human	yeast	sources	score_A	score_C
ACSS1	YAL054C	oma	0.9885886499608318	0.9950482147511076
OSBP2	YAR042W	inparanoid|oma	0.9581998450026	0.9984362783424551
GATB	YBL080C	inparanoid|oma	0.9750072899798197	0.9934844930935626
H2BC3	YBL002W	inparanoid|oma	0.9960739221509683	0.99895751889497
H2BC14	YBL002W	inparanoid|oma	0.9944450373284549	0.99895751889497
H2BC17	YBL002W	inparanoid|oma	0.9962269072280284	0.9994787594474851
H2BC1	YBL002W	inparanoid|oma	0.9934364686020115	0.99687255668491
H2BC13	YBL002W	inparanoid|oma	0.9958475035629464	0.9986968986187126
PRMT8	YBR034C	inparanoid|oma	0.9823622032524493	0.9705499087829033
H2AC7	YBL003C	inparanoid|oma	0.99658244903152	0.9984362783424551
H2AC1	YBL003C	inparanoid|oma	0.996920733736247	0.99895751889497
H2AC25	YBL003C	inparanoid|oma	0.996452037469679	0.9984362783424551
H2AC21	YBL003C	inparanoid|oma	0.9957529722525166	0.9981756580661975
HIST1H2AK	YBL003C	oma	0.9963544346094642	0.9984362783424551
H2AC12	YBL003C	inparanoid|oma	0.9967688960403824	0.9986968986187126
H2AC14	YBL003C	inparanoid|oma	0.9962947206920305	0.9986968986187126
H2AC20	YBL003C	inparanoid|oma	0.9968447141403679	0.9984362783424551
WDR5B	YBR175W	oma	0.5912775263223589	0.8498827208756841
PCBP4	YBR233W	inparanoid|oma	0.8622618604102382	0.9997393797237425
GABARAPL3	YBL078C	inparanoid|oma	0.9966767269612473	1.0
ELAVL2	YCL011C	inparanoid|oma	0.901415810995482	0.9773260359655982
GCK	YCL040W	oma	0.9119708062451126	0.04456606724003128
TOM1L2	YDR358W	oma	0.7854255090167109	0.9838415428720354
PPM1L	YDL006W	oma	0.9745428413223702	0.9856658848058378
RBMXL2	YDR432W	oma	0.9637913662949735	0.8973156111545478
PPIAL4G	YDR155C	oma	0.9769451461754636	1.0
PPIAL4C	YDR155C	oma	0.9787976849903653	1.0
OSGEPL1	YDL104C	inparanoid|oma	0.9855667816758238	0.9955694553036226
PDIA2	YDR518W	inparanoid|oma	0.9016168632127337	0.9986968986187126
FNTB	YDL090C	inparanoid|oma	0.9866634662776923	0.99895751889497
SYCP1	YDR285W	oma	0.9679848097215998	0.9913995308835027
MUC22	YIR019C	oma	0.9072451384194602	0.9859265050820953
PDK4	YIL042C	oma	0.9885384654969281	0.9916601511597603
MCTS2	YER007C-A	inparanoid|oma	0.9864864336596981	0.979932238728173
GCK	YFR053C	inparanoid|oma	0.9080129332933202	0.1154547823820693
GYS2	YFR015C	inparanoid|oma	0.9956915822897924	0.9986968986187125
RAP1BL	YGR152C	inparanoid|oma	0.8816541167642705	0.9994787594474851
GCK	YGL253W	inparanoid|oma	0.9061700889342749	0.11519416210581183
TXNDC8	YGR209C	oma	0.9049694114168132	0.9960906958561376
GCN1	YGL195W	inparanoid|oma	0.9855100599997462	0.9981756580661975
MAPK13	YGR040W	oma	0.99033652066546	1.0
TCEA3	YGL043W	inparanoid|oma	0.9753473081914429	0.8978368517070628
SLC47A1	YHR032W	inparanoid|oma	0.951201501527246	0.9549126922074538
MAPK13	YHR030C	oma	0.9796468351027826	0.9981756580661977
PRKACG	YJL164C	inparanoid|oma	0.9560761222270071	0.9966119364086525
AKR1C8	YJR096W	oma	0.9249994697246566	0.9932238728173052
SNX30	YJL036W	inparanoid|oma	0.9794017010633715	0.9984362783424551
NAP1L2	YKR048C	inparanoid|oma	0.9720980387447213	0.9572582746937712
SLC15A3	YKR093W	oma	0.8896039796756645	0.9658587438102684
PRKACG	YKL166C	inparanoid|oma	0.9465198555048224	0.9953088350273651
NME2	YKL067W	inparanoid|oma	0.9935945486270824	0.9981756580661975
SLC7A4	YKR039W	inparanoid|oma	0.9366804158169062	0.9481365650247588
PPP3R2	YKL190W	inparanoid|oma	0.995631950478181	0.9942663539223352
PGM5	YKL127W	inparanoid|oma	0.841979611185842	0.9877508470158979
ME3	YKL029C	inparanoid|oma	0.924391187305617	0.9979150377899401
CHMP4C	YLR025W	inparanoid|oma	0.9492278984155189	0.9994787594474851
MAT1A	YLR180W	inparanoid|oma	0.9960717338474625	0.9986968986187126
KYNU	YLR231C	inparanoid|oma	0.9708433032310723	0.9994787594474851
RAB6D	YLR262C	inparanoid|oma	0.9772335008141787	0.9994787594474849
RAB6C	YLR262C	inparanoid|oma	0.9762434990511657	0.9994787594474849
RAB6B	YLR262C	inparanoid|oma	0.991823635953975	0.9997393797237425
FBP2	YLR377C	inparanoid|oma	0.991573737350381	0.9997393797237425
FBP1	YLR377C	inparanoid|oma	0.9840988989721863	0.9997393797237425
MAPK13	YLR113W	inparanoid|oma	0.9772377519951965	0.9942663539223351
ERC2	YLR309C	oma	0.9808235318702088	0.9976544175136826
GOLGA6L22	YLR309C	oma	0.831044904638442	0.839197289549127
SKIC2	YLR398C	inparanoid|oma	0.9715089325974329	0.99687255668491
GYS2	YLR258W	inparanoid|oma	0.9957740641176276	0.9963513161323951
TXNDC8	YLR043C	oma	0.9150439495674967	0.99687255668491
PGM5	YMR105C	inparanoid|oma	0.8427253594862869	0.9903570497784727
FACL4	YMR246W	oma	0.9822326090693135	0.9997393797237425
SVOP	YML123C	oma	0.8696474468480029	0.9940057336460777
SRPK3	YMR216C	inparanoid|oma	0.9748030522892113	0.9921813917122752
PEX12	YMR026C	inparanoid|oma	0.9241898153349764	0.9885327078446703
USP27X	YMR223W	inparanoid|oma	0.7843377754419569	0.8991399530883503
TKFC	YML070W	inparanoid|oma	0.9523549245317997	0.9937451133698202
TUBA3C	YML124C	inparanoid|oma	0.997037293084088	1.0
TUBA3D	YML124C	inparanoid|oma	0.9970421664648901	1.0
HSP90AB3P	YMR186W	inparanoid|oma	0.9831332316798267	1.0
DMP1	YMR173W	oma	0.8110903154286854	0.3312483711232734
PPP4R3C	YNL201C	inparanoid|oma	0.9832499681612576	0.9942663539223351
PPP4R3B	YNL201C	inparanoid|oma	0.9725192137267857	0.9992181391712275
PPP4R3A	YNL201C	inparanoid|oma	0.9609911949011987	0.9992181391712275
ELAVL2	YNL004W	inparanoid|oma	0.8914165817612818	0.9809747198332031
PRP4K	YNR047W	oma	0.9635759825391714	0.9095647641386501
CAP2	YNL138W	inparanoid|oma	0.9925022716394662	0.99687255668491
PAK1	YOL113W	oma	0.9877676831050756	0.9976544175136826
H2AZ2	YOL012C	inparanoid|oma	0.9945229831080705	0.9929632525410477
H2AZ1	YOL012C	inparanoid|oma	0.9943414945003775	0.9913995308835027
CAMK1G	YOL016C	inparanoid|oma	0.9778226234889639	0.99791503778994
UBE2C	YOR339C	inparanoid|oma	0.9883442443249916	0.9981756580661975
LIG4	YOR005C	inparanoid|oma	0.9764884059524542	0.9997393797237425
NAPSA	YPL154C	inparanoid|oma	0.9301136037578587	0.9976544175136826
PGA5	YPL154C	inparanoid|oma	0.9239587341441557	0.9882720875684128
PGA3	YPL154C	inparanoid|oma	0.9244545391571524	0.9885327078446703
PGA4	YPL154C	inparanoid|oma	0.9231923742698591	0.9885327078446703
PGC	YPL154C	oma	0.9167941509375981	0.9992181391712275
PYGM	YPR160W	inparanoid|oma	0.9923356729787711	0.9984362783424551
ELOC	YPL046C	inparanoid|oma	0.9685804690801147	0.887412040656763
PRKACG	YPL203W	inparanoid|oma	0.9607642425977603	0.9955694553036226
TUBA3E	YML124C	inparanoid	0.9967494460094581	1.0
TUBA8	YML124C	inparanoid	0.9977940101187635	1.0
ERCC6	YJR035W	inparanoid	0.9840814763897215	0.9934844930935626
PGM1	YKL127W	inparanoid	0.881243855482946	0.9994787594474849
PGM1	YMR105C	inparanoid	0.8904318083755146	0.99895751889497
PPP2R5B	YOR014W	inparanoid	0.9715887916138038	1.0
HFM1	YGL251C	inparanoid	0.9931757320511063	0.9903570497784727
SYNJ1	YNL106C	inparanoid	0.9897498863735236	0.9963513161323951
PRKAA2	YDR477W	inparanoid	0.9849708602697886	0.9955694553036226
DDX12P	YPL008W	inparanoid	0.9607586302412062	0.9986968986187126
ERN2	YHR079C	inparanoid	0.9485888313316706	0.7826426896012509
PRKACB	YKL166C	inparanoid	0.9244034580768061	0.9953088350273651
PRKACB	YJL164C	inparanoid	0.9401329686562091	0.9966119364086526
PRKACB	YPL203W	inparanoid	0.9409454268863893	0.9963513161323951
OSBP2	YDL019C	inparanoid	0.9548046001064611	0.9986968986187125
CORO2B	YLR429W	inparanoid	0.7684687487094939	0.9236382590565547
REN	YPL154C	inparanoid	0.9713903286849581	0.99895751889497
THNSL2	YCR053W	inparanoid	0.940325531248793	0.9734167318217356
MTMR8	YJR110W	inparanoid	0.9299965803851229	0.9773260359655982
MTMR7	YJR110W	inparanoid	0.8793620218796772	0.9900964295022153
MTMR6	YJR110W	inparanoid	0.9346514233194513	0.9960906958561376
STK26	YDR523C	inparanoid	0.983220973677882	1.0
RAB41	YLR262C	inparanoid	0.9708216884890191	0.9992181391712275
H3-4	YBR010W	inparanoid	0.9956992859859108	0.9510033880635914
H3-7	YBR010W	inparanoid	0.9967733983633955	0.9335418295543394
H3-5	YBR010W	inparanoid	0.9971041978564185	0.9405785770132917
CAMK4	YOL016C	inparanoid	0.9861788995921572	0.9992181391712275
PNCK	YOL016C	inparanoid	0.9585706764480939	0.9997393797237425
CAMKV	YOL016C	inparanoid	0.9758560582311979	0.9976544175136826
CAMK4	YFR014C	inparanoid	0.9883289641108102	0.9997393797237425
PNCK	YFR014C	inparanoid	0.9580181799736013	0.996351316132395
CAMKV	YFR014C	inparanoid	0.9795499463833159	1.0
CAMK1G	YFR014C	inparanoid	0.9809320872384617	0.9994787594474849
ATG9B	YDL149W	inparanoid	0.9188790621415879	0.873077925462601
MAK	YJL106W	inparanoid	0.9826865913208012	0.9692468074016158
CILK1	YJL106W	inparanoid	0.9802968284303581	0.9580401355225435
PDILT	YDR518W	inparanoid	0.9735679486051558	0.9744592129267656
TMEM30B	YNL323W	inparanoid	0.9621880700890859	0.9971331769611677
BRSK1	YOR233W	inparanoid	0.9582735019804552	0.7920250195465207
MARK1	YOR233W	inparanoid	0.9869531986394855	0.9494396664060464
TENT4A	YNL299W	inparanoid	0.9534855150775894	0.6413864998696899
TENT4A	YOL115W	inparanoid	0.9483953342703071	0.6760489966119364
SLC47A2	YHR032W	inparanoid	0.9688583872332484	0.9757623143080533
PRKAG3	YGL115W	inparanoid	0.9255536292164694	0.9173833724263748
PRKAG2	YGL115W	inparanoid	0.9312670313844436	0.8595256710972113
BRD4	YDL070W	inparanoid	0.96780699444253	0.9864477456346105
BRDT	YDL070W	inparanoid	0.9773981263978992	0.9179046129788898
CAMKK1	YGL179C	inparanoid	0.9677589620561111	0.9804534792806882
H2AX	YBL003C	inparanoid	0.9966928491416337	0.99895751889497
H2AC6	YBL003C	inparanoid	0.9962336882676958	0.9984362783424551
H2AJ	YBL003C	inparanoid	0.9959156464175785	0.9979150377899401
NAP1L3	YKR048C	inparanoid	0.9725273587988247	0.9585613760750586
SLC15A1	YKR093W	inparanoid	0.963294187034733	0.9963513161323951
SLC15A2	YKR093W	inparanoid	0.9685600511255126	0.9851446442533228
PUM3	YDR496C	inparanoid	0.9039988204341597	0.9916601511597603
H2BC12	YBL002W	inparanoid	0.9963142667425705	0.9994787594474851
H2BC11	YBL002W	inparanoid	0.9963933722282904	0.9992181391712275
H2BC12L	YBL002W	inparanoid	0.9960006467299135	0.9986968986187126
H2BC5	YBL002W	inparanoid	0.9959627451509048	0.9992181391712275
H2BC21	YBL002W	inparanoid	0.9963195848927812	0.9992181391712275
H2BC18	YBL002W	inparanoid	0.9960247423173415	0.9986968986187126
H2BC26	YBL002W	inparanoid	0.9962121215856087	0.9994787594474851
H2BC9	YBL002W	inparanoid	0.9961670306114249	0.9994787594474851
H2BC15	YBL002W	inparanoid	0.9962444176056602	0.9992181391712275
SKIC3	YPR189W	inparanoid	0.9446538829966301	0.9994787594474851
NSUN5P2	YNL022C	inparanoid	0.931883271903054	0.8342455043002346
MARCHF6	YIL030C	inparanoid	0.8746894903443201	1.0
PEX5L	YDR244W	inparanoid	0.9882200099142283	0.9293719051342194
SEL1L2	YLR207W	inparanoid	0.9665393434504237	0.9575188949700286
CHMP4BP1	YLR025W	inparanoid	0.9429480682470848	0.9906176700547302
TBL1Y	YBR103W	inparanoid	0.6570046748177997	0.9809747198332031
PTPN20	YDL230W	inparanoid	0.9799934613158018	0.979932238728173
TREH	YDR001C	inparanoid	0.9448711605322765	0.9528277299973938
TREH	YBR001C	inparanoid	0.9436827361044802	0.9442272608808965
UBQLN3	YMR276W	inparanoid	0.9337131797718345	0.9973937972374252
PCBP3	YBR233W	inparanoid	0.2682177820141205	0.7482408131352619
KDM5D	YMR176W	inparanoid	0.9759907705687219	0.9955694553036226
UCHL1	YJR099W	inparanoid	0.7772229434952127	0.99895751889497
SNX7	YJL036W	inparanoid	0.23888612895087635	0.6859525671097212
BECN2	YPL120W	inparanoid	0.9576958597543108	0.9541308313786813
GYG2	YKR058W	inparanoid	0.980066167676916	0.983580922595778
GYG2	YJL137C	inparanoid	0.981260486218162	0.982017200938233
SEC14L6	YKL091C	inparanoid	0.9746947408470297	0.7829033098775086
SEC14L2	YKL091C	inparanoid	0.976101403067178	0.8952306489444878
SEC14L4	YKL091C	inparanoid	0.97688553539307	0.8300755798801146
SEC14L3	YKL091C	inparanoid	0.9788502538069578	0.8928850664581706
NACA4P	YHR193C	inparanoid	0.9853753846028309	0.9783685170706281
RIGI	YIR002C	inparanoid	0.9520268038781134	0.9132134480062549
DHX58	YIR002C	inparanoid	0.9451675940628954	0.8840239770654157
IFIH1	YIR002C	inparanoid	0.9655142671397743	0.9499609069585615
ELAVL4	YCL011C	inparanoid	0.9169434584746532	0.9856658848058378
ELAVL3	YCL011C	inparanoid	0.8995245685827284	0.9801928590044305
ELAVL4	YNL004W	inparanoid	0.9103046515352939	0.9898358092259577
ELAVL3	YNL004W	inparanoid	0.8884856350052772	0.979932238728173
SLC7A14	YKR039W	inparanoid	0.964375716746126	0.9874902267396403
SLC7A4	YPL274W	inparanoid	0.9404790208751339	0.9228563982277822
SLC7A14	YPL274W	inparanoid	0.9682666873265423	0.9460516028146989
DUSP18	YIL113W	inparanoid	0.9083432441953297	0.9366692728694291
DUSP26	YIL113W	inparanoid	0.9044937031451847	0.9447485014334115
DUSP21	YIL113W	inparanoid	0.9493534225005871	0.9066979410998176
SPO11	YHL022C	inparanoid	0.9684879063772185	0.9384936148032317
RHBG	YNL142W	inparanoid	0.9610040609257212	0.9992181391712275
RHCG	YNL142W	inparanoid	0.9785812091729177	0.9979150377899401
UBTFL1	YMR072W	inparanoid	0.9402509806778796	0.9596038571800886
UBTFL6	YMR072W	inparanoid	0.9398908847686327	0.9549126922074538
DHDH	YMR315W	inparanoid	0.8602443773355829	0.9900964295022151
TEX11	YIL073C	inparanoid	0.9303278571909672	0.9973937972374252
SF3B6	YIR005W	inparanoid	0.981729607639828	0.9945269741985926
KRT33A	YDL197C	inparanoid	0.9120474957327709	0.7367735209799323
KRT34	YDL197C	inparanoid	0.9097315334714873	0.7200938232994526
KRT36	YDL197C	inparanoid	0.9193299624611992	0.7482408131352619
KRT38	YDL197C	inparanoid	0.931280840473778	0.8947094083919729
KRT14	YDL197C	inparanoid	0.9219161169532964	0.6020328381548085
KRT16	YDL197C	inparanoid	0.9173658360861311	0.6017722178785511
KRT13	YDL197C	inparanoid	0.9230463426659552	0.6387802971071149
KRT15	YDL197C	inparanoid	0.9232492149883471	0.6171488141777431
KRT9	YDL197C	inparanoid	0.9250335747312044	0.398227782121449
KRT20	YDL197C	inparanoid	0.933892626476727	0.7539744592129267
KRT33B	YDL197C	inparanoid	0.9112592403052742	0.695334897054991
KRT32	YDL197C	inparanoid	0.9168143616402209	0.7763878029710711
KRT31	YDL197C	inparanoid	0.911012309303293	0.7044566067240031
KRT24	YDL197C	inparanoid	0.9327054345513655	0.6067240031274433
KRT40	YDL197C	inparanoid	0.9212148492837557	0.8365910867865519
KRT28	YDL197C	inparanoid	0.9443111933492092	0.7646598905394839
KRT27	YDL197C	inparanoid	0.9367666716740135	0.689601250977326
KRT26	YDL197C	inparanoid	0.9487889810813256	0.7988011467292155
KRT25	YDL197C	inparanoid	0.9431323253668877	0.7234818868908001
KRT35	YDL197C	inparanoid	0.918889394155387	0.7816002084962209
KRT12	YDL197C	inparanoid	0.93771661390873	0.5976022934584311
H1-4	YPL127C	inparanoid	0.9612634391590358	0.9457909825384414
H1-5	YPL127C	inparanoid	0.9536158353999596	0.9450091217096691
H1-3	YPL127C	inparanoid	0.9738876058563536	0.9721136304404482
H1-2	YPL127C	inparanoid	0.9690480560303669	0.964034401876466
H1-6	YPL127C	inparanoid	0.971101375724946	0.9981756580661975
H1-1	YPL127C	inparanoid	0.9805872939205862	0.9874902267396403
H1-10	YPL127C	inparanoid	0.9698977870963745	0.982538441490748
BHMT	YPL273W	inparanoid	0.831002788255908	0.9734167318217356
BHMT2	YPL273W	inparanoid	0.88247579364143	0.9510033880635914
BHMT	YLL062C	inparanoid	0.8287562537235325	0.9739379723742507
BHMT2	YLL062C	inparanoid	0.8835054463580572	0.9648162627052385
