候选编号,赛道,靶点,化合物_InChIKey,化合物_CID,SMILES,方向,spearman_rho,emp_p,q_bh,剂量,证据等级,模型与版本,备注
YB-001,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,ADRA2B,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0514,6e-05,0.00010322,12.2,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-002,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,AVPR2,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0507,9e-05,0.00010588,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-003,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,C5AR2,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0517,6e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-004,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,CHRM1,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0529,5e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-005,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,CHRM5,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0519,6e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-006,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,CHRNA4,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0521,6e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-007,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,DRD4,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0512,7e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-008,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,DRD5,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0519,6e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-009,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,FPR1,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0542,4e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-010,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,FPR2,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0517,5e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
