human_target_symbol	yeast_deletion_target	component_id	split	eligible_primary_human_target
AAK1	YLR096W	ORTHOCC_2E3C6774B91B9E7D	test	1
ABCF3	YFR009W	ORTHOCC_EC07399848D02B25	train	1
ACAA1	YOL072W	ORTHOCC_3012366A27485187	test	1
ACAA2	YOL072W	ORTHOCC_3012366A27485187	test	1
ACAT1	YOL072W	ORTHOCC_3012366A27485187	test	1
ACAT2	YOL072W	ORTHOCC_3012366A27485187	test	1
ACO2	YLR304C	ORTHOCC_D46BBFB5EE432587	test	1
ACP1	YPR073C	ORTHOCC_225F40293E1462BB	validation	1
ACSL3	YMR246W	ORTHOCC_6A880FEAD3F28A28	train	1
ACSL4	YMR246W	ORTHOCC_6A880FEAD3F28A28	train	1
ACSS2	YAL054C	ORTHOCC_92B3B34CE7A93C97	validation	1
ACTR5	YNL059C	ORTHOCC_73968E8A3B217CA0	validation	1
ACTR6	YLR085C	ORTHOCC_1CCC828B0BA40FF2	train	1
ACTR8	YOR141C	ORTHOCC_E416C221F54CBCB8	train	1
ADCK2	YPL109C	ORTHOCC_96C8CD5F7DD5AEB3	test	1
ADCK5	YLR253W	ORTHOCC_CADFAFB487FB6556	train	1
AEN	YOL080C	ORTHOCC_CDBA9029B8D975FF	validation	1
AGL	YPR184W	ORTHOCC_1A7F674A56460B55	train	1
AKR1A1	YJR096W	ORTHOCC_0E7FCAEB32798166	test	1
AKR1C1	YJR096W	ORTHOCC_0E7FCAEB32798166	test	1
AKR1C2	YJR096W	ORTHOCC_0E7FCAEB32798166	test	1
AKR1E2	YJR096W	ORTHOCC_0E7FCAEB32798166	test	1
ALX1	YDR451C	ORTHOCC_37238DD838781884	test	1
ALX1	YML027W	ORTHOCC_37238DD838781884	test	1
ALX3	YDR451C	ORTHOCC_37238DD838781884	test	1
ALX3	YML027W	ORTHOCC_37238DD838781884	test	1
ANAPC10	YGL240W	ORTHOCC_6FDF14C81D4F9BEB	test	1
ANKZF1	YDR049W	ORTHOCC_19F5C91B1E6D43CD	test	1
APEX2	YBL019W	ORTHOCC_081C3C4A3B4D88B8	train	1
AR	YJR096W	ORTHOCC_0E7FCAEB32798166	test	1
ARF1	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ARF3	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ARF4	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ARF5	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ARF6	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ARFGAP3	YNL204C	ORTHOCC_68C1BA0DA0F6CBE6	train	1
ARHGDIA	YDL135C	ORTHOCC_492AA5A251EB14B8	train	1
ARHGDIB	YDL135C	ORTHOCC_492AA5A251EB14B8	train	1
ARIH1	YKR017C	ORTHOCC_512F859B3C710B11	train	1
ARIH2	YKR017C	ORTHOCC_512F859B3C710B11	train	1
ARL1	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ARL11	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ARL3	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ARL4A	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ARL4D	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ARL5A	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ARL5B	YMR138W	ORTHOCC_D0365B50450351CB	train	1
ASF1A	YJL115W	ORTHOCC_4B9B283937A625FA	train	1
ASF1B	YJL115W	ORTHOCC_4B9B283937A625FA	train	1
ATAD2	YGR270W	ORTHOCC_D5CE622DF610B4C0	train	1
ATAD2B	YGR270W	ORTHOCC_D5CE622DF610B4C0	train	1
ATG3	YNR007C	ORTHOCC_8717536BE3BD95FD	train	1
ATG4A	YNL223W	ORTHOCC_D17953ED129F5E7E	train	1
ATG4B	YNL223W	ORTHOCC_D17953ED129F5E7E	train	1
ATG4C	YNL223W	ORTHOCC_D17953ED129F5E7E	train	1
ATG4D	YNL223W	ORTHOCC_D17953ED129F5E7E	train	1
ATG5	YPL149W	ORTHOCC_210825C1944FCCF7	train	1
ATG7	YHR171W	ORTHOCC_214A444FE6647002	train	1
ATG9A	YDL149W	ORTHOCC_A23221241A221D71	test	1
BCKDK	YGL059W	ORTHOCC_11F08A06B63601B5	train	1
BCKDK	YIL042C	ORTHOCC_11F08A06B63601B5	train	1
BCS1L	YDR375C	ORTHOCC_4CC6E1CF5D0C3C0D	train	1
