systematic	common	uniprot	seq_len
	DYNC1H1	Q14204	4646
	HUWE1	Q7Z6Z7	4374
	KMT2A	Q03164	3969
	VPS13C	Q709C8	3753
	VPS13A	Q96RL7	3174
	REV3L	O60673	3130
	MTOR	P42345	2549
	TPR	P12270	2363
	ARID1A	O14497	2285
	ZNF318	Q5VUA4	2279
	PIKFYVE	Q9Y2I7	2098
	TRIP12	Q14669	2067
	GBF1	Q92538	1860
	PSME4	Q14997	1843
	CHD2	O14647	1828
	BCORL1	Q5H9F3	1785
	LTN1	O94822	1766
	UBR2	Q8IWV8	1755
	UBR1	Q8IWV7	1749
	CHD1	O14646	1710
	XRN1	Q8IZH2	1706
	KDM5A	P29375	1690
	RREB1	Q92766	1687
	EIF2AK4	Q9P2K8	1649
	SMARCA4	P51532	1647
	USP10	Q8NFA0	1604
	SMARCA2	P51531	1590
	KDM5C	P41229	1560
	KDM5B	Q9UGL1	1544
	AGL	P35573	1532
	SYNJ2	O15056	1496
	COL2A1	P02458	1487
	COL1A1	P02452	1464
	ATAD2B	Q9ULI0	1458
	MLH3	Q9UHC1	1453
	NUP155	O75694	1391
	ATAD2	Q6PL18	1390
	DHX57	Q6P158	1386
	DHX29	Q7Z478	1369
	BRD4	O60885	1362
	MSH6	P52701	1360
	PIK3R4	Q99570	1358
	ELP1	O95163	1332
	RAD50	Q92878	1312
	CLUH	O75153	1309
	UBE4B	O95155	1302
	PLCG1	P19174	1290
	STIL	Q15468	1287
	SIN3A	Q96ST3	1273
	UPF2	Q9HAU5	1272
	HDLBP	Q00341	1268
	SEC24B	O95487	1268
	REV1	Q9UBZ9	1251
	POLG	P54098	1239
	SMARCC2	Q8TAQ2	1214
	XPO5	Q9HAV4	1204
	PC	P11498	1178
	CTR9	Q6PD62	1173
	SIN3B	O75182	1162
	TTF2	Q9UNY4	1162
	MAML2	Q8IZL2	1156
	PRTG	Q2VWP7	1150
	MSH3	P20585	1137
	UPF1	Q92900	1129
	WDHD1	O75717	1129
	PLCL2	Q9UPR0	1127
	NFX1	Q12986	1120
	SMARCC1	Q92922	1105
	USP7	Q93009	1102
	CCDC150	Q8NCX0	1101
	SEC24C	P53992	1094
	SEC24A	O95486	1093
	UBE3C	Q15386	1083
	IPO4	Q8TEX9	1081
	TSC22D1	Q15714	1073
	UBE3B	Q7Z3V4	1068
	KIF11	P52732	1056
	SMARCA5	O60264	1052
	SMARCA1	P28370	1042
	IPO9	Q96P70	1041
	SEC24D	O94855	1032
	MMS19	Q96T76	1030
	IDE	P14735	1019
	HIRA	P54198	1017
	HLTF	Q14527	1009
	DHX36	Q9H2U1	1008
	RNF40	O75150	1001
	TAOK1	Q7L7X3	1001
	TOP3A	Q13472	1001
	IGHMBP2	P38935	993
	USP15	Q9Y4E8	981
	ERN1	O75460	977
	CHTF18	Q8WVB6	975
	IPO11	Q9UI26	975
	RNF20	Q5VTR2	975
	VPS18	Q9P253	973
	DDX11	Q96FC9	970
	PLK4	O00444	970
	PPP6R2	O75170	966
	USP11	P51784	963
	USP4	Q13107	963
	XPOT	O43592	962
	AAK1	Q2M2I8	961
	VPS11	Q9H270	941
	MSH2	P43246	934
	SCYL2	Q6P3W7	929
	AR	P10275	920
	HK1	P19367	917
	HK2	P52789	917
	ERCC4	Q92889	916
	OSBP2	Q969R2	916
	CUL4B	Q13620	913
	SLC4A1	P02730	911
	CBL	P22681	906
	SRRM1	Q8IYB3	904
	MAP4K3	Q8IVH8	894
	HMGCR	P04035	888
	PAN3	Q58A45	887
