signature_id	species	perturbation_genes	n_batches	label_unmapped	function_label	split_group	split	assay_type	source
adamson_AARS	human	AARS	1	True		adamson_AARS		Perturb-seq CRISPRi	GSE90546
adamson_AMIGO3	human	AMIGO3	1	True		adamson_AMIGO3		Perturb-seq CRISPRi	GSE90546
adamson_ARHGAP22	human	ARHGAP22	1	True		adamson_ARHGAP22		Perturb-seq CRISPRi	GSE90546
adamson_ASCC3	human	ASCC3	1	True		adamson_ASCC3		Perturb-seq CRISPRi	GSE90546
adamson_ATF6	human	ATF6	1	True		adamson_ATF6		Perturb-seq CRISPRi	GSE90546
adamson_ATP5B	human	ATP5B	1	True		adamson_ATP5B		Perturb-seq CRISPRi	GSE90546
adamson_BHLHE40	human	BHLHE40	1	True		adamson_BHLHE40		Perturb-seq CRISPRi	GSE90546
adamson_CAD	human	CAD	1	True		adamson_CAD		Perturb-seq CRISPRi	GSE90546
adamson_CARS	human	CARS	1	True		adamson_CARS		Perturb-seq CRISPRi	GSE90546
adamson_CCND3	human	CCND3	1	True		adamson_CCND3		Perturb-seq CRISPRi	GSE90546
adamson_CHERP	human	CHERP	1	True		adamson_CHERP		Perturb-seq CRISPRi	GSE90546
adamson_COPB1	human	COPB1	1	True		adamson_COPB1		Perturb-seq CRISPRi	GSE90546
adamson_COPZ1	human	COPZ1	1	True		adamson_COPZ1		Perturb-seq CRISPRi	GSE90546
adamson_CREB1	human	CREB1	1	True		adamson_CREB1		Perturb-seq CRISPRi	GSE90546
adamson_DAD1	human	DAD1	1	True		adamson_DAD1		Perturb-seq CRISPRi	GSE90546
adamson_DARS	human	DARS	1	True		adamson_DARS		Perturb-seq CRISPRi	GSE90546
adamson_DDIT3	human	DDIT3	1	True		adamson_DDIT3		Perturb-seq CRISPRi	GSE90546
adamson_DDOST	human	DDOST	1	True		adamson_DDOST		Perturb-seq CRISPRi	GSE90546
adamson_DDRGK1	human	DDRGK1	1	True		adamson_DDRGK1		Perturb-seq CRISPRi	GSE90546
adamson_DERL2	human	DERL2	1	True		adamson_DERL2		Perturb-seq CRISPRi	GSE90546
adamson_DHDDS	human	DHDDS	1	True		adamson_DHDDS		Perturb-seq CRISPRi	GSE90546
