gene	function_label
AHR	GO:0012501
ARID1A	GO:0006325
BAK1	GO:0012501
BCL2L11	GO:0012501
BCORL1	GO:0006325
BPGM	GO:0005975
CBFA2T3	GO:0006355
CBL	GO:0030163
CDKN1B	GO:0012501
CEBPA	GO:0006351
CEBPB	GO:0012501
CEBPE	GO:0030154
CITED1	GO:0006913
CLDN6	GO:0007155
CNN1	GO:0007010
COL2A1	GO:0030154
CSRNP1	GO:0012501
DLX2	GO:0030154
DUSP9	GO:0023052
EGR1	GO:0006355
ETS2	GO:0006355
FEV	GO:0030154
FOSB	GO:0006355
FOXA1	GO:0006325
FOXA3	GO:0006355
FOXF1	GO:0006355
FOXL2	GO:0012501
FOXO4	GO:0030154
GLB1L2	GO:0005975
HES7	GO:0006355
HK2	GO:0007005
HNF4A	GO:0042060
HOXA13	GO:0048856
HOXB9	GO:0006355
HOXC13	GO:0006355
IKZF3	GO:0006355
IRF1	GO:0012501
ISL2	GO:0030154
JUN	GO:0006355
KIF18B	GO:0000278
KIF2C	GO:0140014
KLF1	GO:0030163
KMT2A	GO:0065003
LHX1	GO:0006351
LYL1	GO:0006355
MAP2K3	GO:0006355
MAP4K3	GO:0023052
MAP4K5	GO:0023052
MAP7D1	GO:0007010
MEIS1	GO:0030154
MIDN	GO:0030163
NCL	GO:0016071
NIT1	GO:0006575
OSR2	GO:0030154
PLK4	GO:0007010
POU3F2	GO:0030154
PRDM1	GO:0006355
PTPN12	GO:0048856
PTPN9	GO:0023052
RREB1	GO:0006351
SAMD1	GO:0065003
SET	GO:0006260
SGK1	GO:0023052
SLC38A2	GO:0055085
SNAI1	GO:0030154
SPI1	GO:0006351
STIL	GO:0000278
TBX2	GO:0006355
TBX3	GO:0006355
TMSB4X	GO:0023052
TP73	GO:0012501
TSC22D1	GO:0006351
ZBTB1	GO:0006260
ZBTB10	GO:0006355
ZBTB25	GO:0006355
ZNF318	GO:0006355
