systematic	common	uniprot	seq_len
YLR106C	MDN1	Q12019	4910
YKR054C	DYN1	P36022	4092
YHR099W	TRA1	P38811	3744
YDR457W	TOM1	Q03280	3268
YLL040C	VPS13	Q07878	3144
YBR140C	IRA1	P18963	3092
YOL081W	IRA2	P19158	3079
YLR087C	CSF1	Q12150	2958
YBL088C	TEL1	P38110	2787
YDR150W	NUM1	Q00402	2748
YGL195W	GCN1	P33892	2672
YLR454W	FMP27	Q06179	2628
YBL004W	UTP20	P35194	2493
YPR117W	HOB2	Q06116	2489
YKL203C	TOR2	P32600	2474
YJR066W	TOR1	P35169	2470
YHR165C	PRP8	P33334	2413
YIL129C	TAO3	P40468	2376
YBR136W	MEC1	P38111	2368
YFR019W	FAB1	P34756	2278
YMR207C	HFA1	P32874	2273
YNR016C	ACC1	Q00955	2233
YLR430W	SEN1	Q00416	2231
YNL262W	POL2	P21951	2222
YJL130C	URA2	P07259	2214
YPL085W	SEC16	P48415	2195
YER155C	BEM2	P39960	2167
YCR032W	BPH1	P25356	2167
YER172C	BRR2	P32639	2163
YDL171C	GLT1	Q12680	2145
YFL007W	BLM10	P43583	2143
YCR093W	CDC39	P25655	2108
YKL182W	FAS1	P07149	2051
YGR217W	CCH1	P50077	2039
YJL005W	CYR1	P08678	2026
YJL207C	LAA1	P39526	2014
YDR170C	SEC7	P11075	2009
YGR271W	SLH1	P53327	1967
YNL271C	BNI1	P41832	1953
YGR184C	UBR1	P19812	1950
YLR422W	DCK1	Q06409	1932
YHR023W	MYO1	P08964	1928
YBR275C	RIF1	P29539	1916
YLR305C	STT4	P37297	1900
YGR032W	GSC2	P40989	1895
YPL231W	FAS2	P19097	1887
YLR342W	FKS1	P38631	1876
YKR095W	MLP1	Q02455	1875
YLR024C	UBR2	Q07963	1872
YHL030W	ECM29	P38737	1868
YPL082C	MOT1	P32333	1867
YGR296W	YRF1-3	P0CX14	1859
YPL283C	YRF1-7	P0CX15	1859
YNL339C	YRF1-6	P53819	1859
YBR208C	DUR1,2	P32528	1835
YJL113W	TY4B-J	P47024	1803
YHL009W-B	TY4B-H	P0C2J7	1802
YDR420W	HKR1	P41809	1802
YDR545W	YRF1-1	P0CX20	1796
YLR467W	YRF1-5	P0CX21	1796
YOR396W	YRF1-8	P0CX22	1796
YHR214C-B	TY1B-H	O13535	1793
YDL058W	USO1	P25386	1790
YMR306W	FKS3	Q04952	1785
YLR410W-B	TY2B-LR1	P0C2J3	1770
YFL002W-A	TY2B-F	P0CX63	1770
YGR161W-B	TY2B-GR2	P0CX64	1770
YCL019W	TY2B-C	P25384	1770
YFL033C	RIM15	P43565	1770
YDR210W-B	TY2B-DR2	Q03494	1770
YDR261W-B	TY2B-DR3	Q07791	1770
YOR192C-B	TY2B-OR1	Q12113	1770
YGR038C-D/YGR038C-C	TY2B-GR1	Q12337	1770
YDR034C-D	TY2B-DR1	Q12472	1770
YBL100W-B	TY2B-B	Q12491	1770
YOR343W-B	TY2B-OR2	Q12501	1770
YJL109C	UTP10	P42945	1769
YKL014C	URB1	P34241	1764
YIL177C	YIL177C	P40434	1758
YJL225C	YJL225C	P40889	1758
YPR158W-B	TY1B-PR2	P0C2J0	1756
YBR012W-B	TY1B-BR	Q12193	1756
YDR316W-B	TY1B-DR5	P0C2I2	1755
YDR365W-B	TY1B-DR6	P0C2I3	1755
YLR157C-B	TY1B-LR2	P0C2I5	1755
YLR227W-B	TY1B-LR3	P0C2I6	1755
YLR256W-B/YLR256W-C	TY1B-LR4	P0C2I7	1755
YPR137C-B	TY1B-PR1	P0C2I9	1755
YPR158C-D	TY1B-PR3	P0C2J1	1755
YJR027W	TY1B-JR1	P47098	1755
YJR029W	TY1B-JR2	P47100	1755
YML039W	TY1B-ML2	Q03434	1755
YER138C	TY1B-ER1	Q03612	1755
YER160C	TY1B-ER2	Q03619	1755
YDR098C-B	TY1B-DR1	Q03855	1755
YMR045C	TY1B-MR1	Q04214	1755
YMR050C	TY1B-MR2	Q04670	1755
YML045W	TY1B-ML1	Q04711	1755
YLR035C-A	TY1B-LR1	Q12088	1755
YNL284C-B	TY1B-NL1	Q12112	1755
YGR027W-B	TY1B-GR1	Q12141	1755
YGR038C-B	TY1B-GR2	Q12269	1755
YOL103W-B	TY1B-OL	Q12273	1755
YGR161C-D	TY1B-GR3	Q12316	1755
YPL257W-B	TY1B-PL	Q12414	1755
YBL005W-B	TY1B-BL	Q12490	1755
YOR142W-B	TY1B-OR	Q92393	1755
YDR210C-D	TY1B-DR3	Q99231	1755
YER132C	PMD1	P32634	1753
YNL054W-B	TY1B-NL2	Q99337	1749
YNL172W	APC1	P53886	1748
YDL140C	RPO21	P04050	1733
YMR229C	RRP5	Q05022	1729
YOR290C	SNF2	P22082	1703
YDR141C	DOP1	Q03921	1698
YKR031C	SPO14	P36126	1683
YJL039C	NUP192	P47054	1683
YER190W	YRF1-2	P40105	1681
YIL149C	MLP2	P40457	1679
YML059C	NTE1	Q04958	1679
YOR341W	RPA190	P10964	1664
YLL048C	YBT1	P32386	1661
YDR283C	GCN2	P15442	1659
YMR219W	ESC1	Q03661	1658
YMR162C	DNF3	Q12674	1656
YML103C	NUP188	P52593	1655
YGL206C	CHC1	P22137	1653
YJR140C	HIR3	P47171	1648
YOR093C	CRM2	Q12275	1648
YNL297C	MON2	P48563	1636
YCL014W	BUD3	P25558	1636
YGR098C	ESP1	Q03018	1630
YOR191W	ULS1	Q08562	1619
YDR093W	DNF2	Q12675	1612
YCR089W	FIG2	P25653	1609
YDR261C-D	TY1B-DR4	Q07793	1604
YLR424C-A	TY2B-LR2	P0C2J5	1598
YNL139C	THO2	P53552	1597
YNL242W	ATG2	P53855	1592
YHL035C	VMR1	P38735	1592
YLR310C	CDC25	P04821	1589
YDR127W	ARO1	P08566	1588
YJR138W	IML1	P47170	1584
YBL017C	PEP1	P32319	1579
YNR031C	SSK2	P53599	1579
YOR326W	MYO2	P19524	1574
YER166W	DNF1	P32660	1571
YOR328W	PDR10	P51533	1564
YMR247C	RKR1	Q04781	1562
YLL015W	BPT1	P14772	1559
YHR186C	KOG1	P38873	1557
YLR247C	IRC20	Q06554	1556
YIL173W	VTH1	P40438	1549
YJL222W	VTH2	P40890	1549
YGR109W-B	TY3B-G	Q99315	1547
YML072C	TCB3	Q03640	1545
YAR050W	FLO1	P32768	1537
YOL004W	SIN3	P22579	1536
YPR184W	GDB1	Q06625	1536
