target_id	inchikey
FPR1	SQFNCEKTEKNPCN-UHFFFAOYSA-N
CHRM1	SQFNCEKTEKNPCN-UHFFFAOYSA-N
TACR2	SQFNCEKTEKNPCN-UHFFFAOYSA-N
PRLHR	SQFNCEKTEKNPCN-UHFFFAOYSA-N
CHRM5	SQFNCEKTEKNPCN-UHFFFAOYSA-N
OPN4	SQFNCEKTEKNPCN-UHFFFAOYSA-N
CHRNA4	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNS2	SQFNCEKTEKNPCN-UHFFFAOYSA-N
DRD5	SQFNCEKTEKNPCN-UHFFFAOYSA-N
GPR151	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNS1	SQFNCEKTEKNPCN-UHFFFAOYSA-N
FPR2	SQFNCEKTEKNPCN-UHFFFAOYSA-N
GPRC5D	SQFNCEKTEKNPCN-UHFFFAOYSA-N
C5AR2	SQFNCEKTEKNPCN-UHFFFAOYSA-N
GPR84	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNF1	SQFNCEKTEKNPCN-UHFFFAOYSA-N
GPR152	SQFNCEKTEKNPCN-UHFFFAOYSA-N
FPR3	SQFNCEKTEKNPCN-UHFFFAOYSA-N
OR1E3	SQFNCEKTEKNPCN-UHFFFAOYSA-N
NPFFR1	SQFNCEKTEKNPCN-UHFFFAOYSA-N
ADRA2B	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNV2	SQFNCEKTEKNPCN-UHFFFAOYSA-N
HRH3	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNK17	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNC1	SQFNCEKTEKNPCN-UHFFFAOYSA-N
GPR50	SQFNCEKTEKNPCN-UHFFFAOYSA-N
AVPR2	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNG2	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNA5	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNC3	SQFNCEKTEKNPCN-UHFFFAOYSA-N
OR8K5	SQFNCEKTEKNPCN-UHFFFAOYSA-N
DRD4	SQFNCEKTEKNPCN-UHFFFAOYSA-N
MRGPRD	SQFNCEKTEKNPCN-UHFFFAOYSA-N
GPR156	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCND1	SQFNCEKTEKNPCN-UHFFFAOYSA-N
GALR2	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNC4	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNH2	SQFNCEKTEKNPCN-UHFFFAOYSA-N
MCHR1	SQFNCEKTEKNPCN-UHFFFAOYSA-N
KCNG4	SQFNCEKTEKNPCN-UHFFFAOYSA-N
