human	yeast_orf	split	fold	oof_pct_rank_A	oof_pct_rank_B	oof_pct_rank_C
ACO2	YLR304C	test	0	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
ACSL3	YMR246W	train	1	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
ACSL4	YMR246W	train	2	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
ACSS2	YAL054C	validation	3	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
ACTR5	YNL059C	validation	4	0.08991399530883502	0.0007818608287724785	0.003909304143862392
ACTR6	YLR085C	train	0	0.020328381548084442	0.0007818608287724785	0.0007818608287724785
ADCK2	YPL109C	test	1	0.0023455824863174357	0.001563721657544957	0.01641907740422205
ADCK5	YLR253W	train	2	0.0007818608287724785	0.0007818608287724785	0.0023455824863174357
AEN	YOL080C	validation	3	0.0007818608287724785	0.001563721657544957	0.0007818608287724785
AGL	YPR184W	train	4	0.003909304143862392	0.0007818608287724785	0.0007818608287724785
AKR1A1	YJR096W	test	0	0.0007818608287724785	0.0007818608287724785	0.001563721657544957
AKR1C1	YJR096W	test	1	0.004691164972634871	0.0007818608287724785	0.0007818608287724785
AKR1C2	YJR096W	test	2	0.004691164972634871	0.0007818608287724785	0.0007818608287724785
AKR1E2	YJR096W	test	3	0.0007818608287724785	0.0007818608287724785	0.001563721657544957
ALX1	YDR451C	test	4	0.02501954652071931	0.011727912431587178	0.0007818608287724785
ALX1	YML027W	test	4	0.07349491790461297	0.03049257232212666	0.001563721657544957
ALX3	YDR451C	test	0	0.04691164972634871	0.013291634089132134	0.001563721657544957
ALX3	YML027W	test	0	0.058639562157935886	0.018764659890539485	0.0007818608287724785
ANAPC10	YGL240W	test	1	0.3346364347146208	0.0007818608287724785	0.01563721657544957
ANKZF1	YDR049W	test	2	0.0109460516028147	0.006254886630179828	0.0007818608287724785
APEX2	YBL019W	train	3	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
AR	YJR096W	test	4	0.982017200938233	0.15871774824081314	0.046129788897576234
ARF1	YMR138W	train	0	0.0023455824863174357	0.0007818608287724785	0.0007818608287724785
ARF3	YMR138W	train	1	0.001563721657544957	0.0007818608287724785	0.0007818608287724785
ARF4	YMR138W	train	2	0.001563721657544957	0.0007818608287724785	0.0007818608287724785
ARF5	YMR138W	train	3	0.001563721657544957	0.0007818608287724785	0.0007818608287724785
ARF6	YMR138W	train	4	0.001563721657544957	0.0007818608287724785	0.0007818608287724785
ARFGAP3	YNL204C	train	0	0.007036747458952306	0.035183737294761534	0.08522283033620015
ARHGDIA	YDL135C	train	1	0.05629397967161845	0.0007818608287724785	0.0007818608287724785
ARHGDIB	YDL135C	train	2	0.0007818608287724785	0.0007818608287724785	0.001563721657544957
ARIH1	YKR017C	train	3	0.4659890539483972	0.003127443315089914	0.06958561376075059
ARIH2	YKR017C	train	4	0.0007818608287724785	0.0007818608287724785	0.00547302580140735
ARL1	YMR138W	train	0	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
ARL11	YMR138W	train	1	0.0007818608287724785	0.0007818608287724785	0.001563721657544957
ARL3	YMR138W	train	2	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
ARL4A	YMR138W	train	3	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
ARL4D	YMR138W	train	4	0.001563721657544957	0.0007818608287724785	0.0007818608287724785
ARL5A	YMR138W	train	0	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
ARL5B	YMR138W	train	1	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
ASF1A	YJL115W	train	2	0.001563721657544957	0.01563721657544957	0.0007818608287724785
ASF1B	YJL115W	train	3	0.009382329945269743	0.03440187646598905	0.013291634089132134
ATAD2	YGR270W	train	4	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
ATAD2B	YGR270W	train	0	0.001563721657544957	0.007036747458952306	0.007818608287724784
ATG3	YNR007C	train	1	0.05160281469898358	0.0007818608287724785	0.0007818608287724785
ATG4A	YNL223W	train	2	0.001563721657544957	0.0007818608287724785	0.001563721657544957
ATG4B	YNL223W	train	3	0.01563721657544957	0.0007818608287724785	0.0007818608287724785
ATG4C	YNL223W	train	4	0.001563721657544957	0.0007818608287724785	0.003909304143862392
ATG4D	YNL223W	train	0	0.0007818608287724785	0.0007818608287724785	0.0797498045347928
ATG5	YPL149W	train	1	0.18764659890539484	0.001563721657544957	0.008600469116497263
ATG7	YHR171W	train	2	0.007036747458952306	0.0007818608287724785	0.0023455824863174357
ATG9A	YDL149W	test	3	0.0023455824863174357	0.0007818608287724785	0.001563721657544957
BCKDK	YIL042C	train	4	0.0007818608287724785	0.0007818608287724785	0.003127443315089914
BCS1L	YDR375C	train	0	0.0007818608287724785	0.0007818608287724785	0.001563721657544957
BECN1	YPL120W	validation	1	0.05238467552775606	0.0007818608287724785	0.0007818608287724785
BLMH	YNL239W	train	2	0.017982799061767005	0.0007818608287724785	0.0007818608287724785
BOLA1	YAL044W-A	validation	3	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
BOLA3	YAL046C	train	4	0.003127443315089914	0.0007818608287724785	0.0007818608287724785
BRAP	YHL010C	train	0	0.2845973416731822	0.6223612197028929	0.6247068021892104
BRD2	YDL070W	train	1	0.003909304143862392	0.0007818608287724785	0.0023455824863174357
BRD3	YDL070W	train	2	0.004691164972634871	0.0007818608287724785	0.0007818608287724785
BTF3	YDR252W	train	3	0.947615324472244	0.04534792806880375	0.03596559812353401
BTF3	YPL037C	train	3	0.8913213448006255	0.3706020328381548	0.05707584050039093
BTF3L4	YDR252W	train	4	0.0727130570758405	0.007036747458952306	0.0109460516028147
BTF3L4	YPL037C	train	4	0.0007818608287724785	0.0007818608287724785	0.003909304143862392
C1D	YHR081W	validation	0	0.014855355746677092	0.0007818608287724785	0.006254886630179828
CAMK1	YFR014C	train	1	0.003909304143862392	0.001563721657544957	0.003909304143862392
CAMK1	YOL016C	train	1	0.007036747458952306	0.0007818608287724785	0.0007818608287724785
CAMKK2	YGL179C	validation	2	0.0007818608287724785	0.001563721657544957	0.014073494917904612
CAP1	YNL138W	validation	3	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
CCDC150	YGL086W	train	4	0.006254886630179828	0.00547302580140735	0.004691164972634871
CCDC77	YPL253C	validation	0	0.23924941360437843	0.0906958561376075	0.0398749022673964
CCNB1	YGR108W	validation	1	0.027365129007036748	0.003909304143862392	0.004691164972634871
CCNB1	YPR119W	validation	1	0.017982799061767005	0.0007818608287724785	0.0007818608287724785
CCNB2	YGR108W	validation	2	0.007818608287724784	0.003127443315089914	0.001563721657544957
CCNB2	YPR119W	validation	2	0.003127443315089914	0.0007818608287724785	0.0007818608287724785
CCNC	YNL025C	train	3	0.03831118060985145	0.0007818608287724785	0.014073494917904612
CD2BP2	YHR156C	validation	4	0.10320562939796717	0.022673964034401875	0.013291634089132134
CDC40	YDR364C	validation	0	0.04143862392494136	0.0007818608287724785	0.009382329945269743
CDK19	YPL042C	train	1	0.10476935105551212	0.006254886630179828	0.0007818608287724785
CDK5	YPL031C	train	2	0.0007818608287724785	0.0007818608287724785	0.0023455824863174357
CDK8	YPL042C	train	3	0.12431587177482409	0.0023455824863174357	0.0007818608287724785
CDK9	YKL139W	train	4	0.0109460516028147	0.004691164972634871	0.008600469116497263
CELF1	YCL011C	test	0	0.1641907740422205	0.15089913995308835	0.008600469116497263
CELF1	YNL004W	test	0	0.39796716184519154	0.3455824863174355	0.003909304143862392
CELF2	YCL011C	test	1	0.18060985144644254	0.15011727912431588	0.022673964034401875
CELF2	YNL004W	test	1	0.4081313526192338	0.36825645035183735	0.017982799061767005
CFDP1	YBR231C	train	2	0.0007818608287724785	0.0007818608287724785	0.1462079749804535
CHAF1B	YML102W	validation	3	0.0007818608287724785	0.0007818608287724785	0.028928850664581705
CHD1	YER164W	train	4	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
CHD2	YER164W	train	0	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
CHEK1	YBR274W	train	1	0.01563721657544957	0.0007818608287724785	0.0007818608287724785
CHKA	YDR147W	train	2	0.17904612978889758	0.0007818608287724785	0.022673964034401875
CHKA	YLR133W	train	2	0.07818608287724785	0.001563721657544957	0.035183737294761534
CHKB	YDR147W	train	3	0.17200938232994528	0.0007818608287724785	0.004691164972634871
CHKB	YLR133W	train	3	0.08600469116497264	0.001563721657544957	0.020328381548084442
CHMP2A	YKL002W	train	4	0.0007818608287724785	0.001563721657544957	0.0007818608287724785
CHMP2B	YKL041W	train	0	0.001563721657544957	0.0007818608287724785	0.053166536356528536
CHMP3	YKL041W	train	1	0.001563721657544957	0.0007818608287724785	0.003127443315089914
CHMP4A	YLR025W	train	2	0.001563721657544957	0.0007818608287724785	0.0007818608287724785
CHMP4B	YLR025W	train	3	0.006254886630179828	0.0007818608287724785	0.0007818608287724785
CHRAC1	YJL065C	test	4	0.003909304143862392	0.003127443315089914	0.014855355746677092
CHTF18	YMR078C	train	0	0.0007818608287724785	0.0007818608287724785	0.0007818608287724785
CLK1	YLL019C	train	1	0.10320562939796717	0.014855355746677092	0.0007818608287724785
CLK2	YLL019C	train	2	0.1344800625488663	0.008600469116497263	0.0007818608287724785
CLK3	YLL019C	train	3	0.15011727912431588	0.019546520719311962	0.0007818608287724785
CLK4	YLL019C	train	4	0.11180609851446442	0.01641907740422205	0.0007818608287724785
CLUH	YMR012W	train	0	0.054730258014073496	0.0007818608287724785	0.003127443315089914
