signature_id	label	split_group	rr_human_only	rr_yeast_only	rr_j9	rr_comparator_best_single	rr_joint_nested
NORMAN::AHR	GO:0012501	PGC_fe2c36c93531	0.125	0.06666666666666667	0.16666666666666666	0.06666666666666667	0.08333333333333333
NORMAN::AHR+FEV	GO:0006355	PGC_fe2c36c93531	0.5	1.0	1.0	1.0	1.0
NORMAN::AHR+KLF1	GO:0006355	PGC_fe2c36c93531	0.5	1.0	0.5	1.0	1.0
NORMAN::ARID1A	GO:0006325	PGC_3a479130f73b	1.0	0.5	0.5	1.0	1.0
NORMAN::ATL1	GO:0061024	PGC_ee5b8ee6378e	0.0	0.0	0.0	0.0	0.0
NORMAN::BAK1	GO:0012501	PGC_fe2c36c93531	0.3333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.125
NORMAN::BAK1+BCL2L11	GO:0012501	PGC_fe2c36c93531	0.5	0.06666666666666667	0.0625	0.06666666666666667	0.125
NORMAN::BAK1+KLF1	GO:0012501	PGC_fe2c36c93531	1.0	0.07142857142857142	0.06666666666666667	0.07142857142857142	0.25
NORMAN::BAK1+TMSB4X	GO:0012501	PGC_fe2c36c93531	0.5	0.08333333333333333	0.058823529411764705	0.08333333333333333	0.1111111111111111
NORMAN::BCL2L11	GO:0012501	PGC_fe2c36c93531	0.3333333333333333	0.0625	0.05263157894736842	0.0625	0.09090909090909091
NORMAN::BCL2L11+TGFBR2	GO:0012501	PGC_fe2c36c93531	0.5	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.125
NORMAN::BCORL1	GO:0006325	PGC_ddd2a2790f36	0.07692307692307693	0.16666666666666666	0.5	0.07692307692307693	0.2
NORMAN::BPGM	GO:0005975	PGC_fe2c36c93531	0.3333333333333333	0.3333333333333333	0.5	0.3333333333333333	0.5
NORMAN::BPGM+SAMD1	GO:0005975	PGC_fe2c36c93531	0.0625	0.125	1.0	0.125	0.2
NORMAN::BPGM+ZBTB1	GO:0006260	PGC_fe2c36c93531	0.05555555555555555	0.125	0.07142857142857142	0.125	0.058823529411764705
NORMAN::CBFA2T3	GO:0006355	PGC_fe2c36c93531	0.3333333333333333	1.0	1.0	1.0	1.0
NORMAN::CBFA2T3+FEV	GO:0030154	PGC_fe2c36c93531	0.5	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.125
NORMAN::CBFA2T3+POU3F2	GO:0030154	PGC_fe2c36c93531	0.25	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.1
NORMAN::CBFA2T3+PRDM1	GO:0006355	PGC_fe2c36c93531	0.3333333333333333	1.0	1.0	1.0	1.0
NORMAN::CBL	GO:0030163	PGC_fe2c36c93531	0.5	0.1111111111111111	0.5	0.1111111111111111	0.5
NORMAN::CBL+CNN1	GO:0030163	PGC_fe2c36c93531	1.0	0.07692307692307693	0.125	0.07692307692307693	0.2
NORMAN::CBL+PTPN12	GO:0030163	PGC_fe2c36c93531	0.1	0.08333333333333333	0.16666666666666666	0.08333333333333333	0.09090909090909091
NORMAN::CBL+PTPN9	GO:0030163	PGC_fe2c36c93531	0.5	0.07692307692307693	0.5	0.07692307692307693	0.5
NORMAN::CBL+TGFBR2	GO:0012501	PGC_fe2c36c93531	0.25	0.05263157894736842	0.06666666666666667	0.05263157894736842	0.1
NORMAN::CBL+UBASH3B	GO:0030163	PGC_fe2c36c93531	1.0	0.5	0.16666666666666666	0.5	0.5
NORMAN::CDKN1A	GO:0006913	PGC_d7e89572d1a8	0.08333333333333333	0.2	0.07692307692307693	0.08333333333333333	0.08333333333333333
NORMAN::CDKN1A+CDKN1B	GO:0006913	PGC_d7e89572d1a8	0.1	0.16666666666666666	0.07692307692307693	0.1	0.08333333333333333
NORMAN::CDKN1B	GO:0012501	PGC_d7e89572d1a8	0.14285714285714285	0.058823529411764705	0.05263157894736842	0.14285714285714285	0.06666666666666667
NORMAN::CEBPA	GO:0006351	PGC_fe2c36c93531	0.2	0.25	0.2	0.25	0.25
NORMAN::CEBPA+CEBPB	GO:0006351	PGC_fe2c36c93531	0.2	0.3333333333333333	0.1111111111111111	0.3333333333333333	0.25
NORMAN::CEBPA+CEBPE	GO:0006351	PGC_fe2c36c93531	0.25	0.3333333333333333	0.16666666666666666	0.3333333333333333	0.3333333333333333
NORMAN::CEBPA+JUN	GO:0006355	PGC_fe2c36c93531	1.0	1.0	1.0	1.0	1.0
NORMAN::CEBPA+KLF1	GO:0006355	PGC_fe2c36c93531	1.0	0.5	1.0	0.5	1.0
NORMAN::CEBPB	GO:0012501	PGC_fe2c36c93531	0.2	0.07142857142857142	0.0625	0.07142857142857142	0.07692307692307693
NORMAN::CEBPB+CEBPE	GO:0006355	PGC_fe2c36c93531	1.0	1.0	1.0	1.0	1.0
NORMAN::CEBPB+FOSB	GO:0006355	PGC_fe2c36c93531	0.5	1.0	1.0	1.0	1.0
NORMAN::CEBPB+JUN	GO:0006355	PGC_fe2c36c93531	1.0	1.0	1.0	1.0	1.0
NORMAN::CEBPB+LYL1	GO:0006355	PGC_fe2c36c93531	1.0	1.0	0.3333333333333333	1.0	1.0
NORMAN::CEBPB+MAPK1	GO:0012501	PGC_fe2c36c93531	0.125	0.058823529411764705	0.07142857142857142	0.058823529411764705	0.07692307692307693
NORMAN::CEBPB+OSR2	GO:0006355	PGC_fe2c36c93531	1.0	1.0	1.0	1.0	1.0
NORMAN::CEBPB+PTPN12	GO:0012501	PGC_fe2c36c93531	0.16666666666666666	0.0625	0.05263157894736842	0.0625	0.07142857142857142
NORMAN::CEBPE	GO:0030154	PGC_fe2c36c93531	1.0	0.05263157894736842	0.058823529411764705	0.05263157894736842	0.2
NORMAN::CEBPE+CNN1	GO:0030154	PGC_fe2c36c93531	0.5	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.1111111111111111
NORMAN::CEBPE+ETS2	GO:0030154	PGC_fe2c36c93531	1.0	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.16666666666666666
NORMAN::CEBPE+FOSB	GO:0006355	PGC_fe2c36c93531	0.2	1.0	1.0	1.0	1.0
NORMAN::CEBPE+KLF1	GO:0030154	PGC_fe2c36c93531	1.0	0.05263157894736842	0.058823529411764705	0.05263157894736842	0.14285714285714285
NORMAN::CEBPE+PTPN12	GO:0030154	PGC_fe2c36c93531	1.0	0.05555555555555555	0.07142857142857142	0.05555555555555555	0.14285714285714285
NORMAN::CEBPE+RUNX1T1	GO:0006355	PGC_fe2c36c93531	0.3333333333333333	1.0	1.0	1.0	1.0
NORMAN::CEBPE+SET	GO:0006355	PGC_fe2c36c93531	0.2	0.25	1.0	0.25	1.0
NORMAN::CEBPE+SPI1	GO:0030154	PGC_fe2c36c93531	1.0	0.05263157894736842	0.05555555555555555	0.05263157894736842	0.14285714285714285
NORMAN::CELF2	GO:0016071	PGC_03b9bb35a509	0.125	1.0	0.5	0.125	1.0
NORMAN::CITED1	GO:0006913	PGC_878d12317fd0	0.1	0.25	0.1	0.1	0.14285714285714285
NORMAN::CKS1B	GO:0000278	PGC_80f8570613ec	0.14285714285714285	0.07692307692307693	0.07142857142857142	0.14285714285714285	0.07692307692307693
