human	yeast_orf	split	fold	oof_pct_rank_A	oof_pct_rank_B	oof_pct_rank_C
ACO2	YLR304C	test	0	0.7238689547581904	0.7394695787831513	0.1669266770670827
ACSL3	YMR246W	train	1	0.9508580343213728	0.7878315132605305	0.5741029641185648
ACSL4	YMR246W	train	2	0.9001560062402496	0.8533541341653667	0.02106084243369735
ACSS2	YAL054C	validation	3	0.4578783151326053	0.6856474258970359	0.06942277691107644
ACTR5	YNL059C	validation	4	0.4204368174726989	0.3338533541341654	0.8775351014040562
ACTR6	YLR085C	train	0	0.12168486739469579	0.5631825273010921	0.35257410296411856
ADCK2	YPL109C	test	1	0.25975039001560063	0.31201248049922	0.9258970358814352
ADCK5	YLR253W	train	2	0.8798751950078003	0.7925117004680188	0.5741029641185648
AEN	YOL080C	validation	3	0.8354134165366615	0.29329173166926675	0.8182527301092044
AGL	YPR184W	train	4	0.11232449297971919	0.16770670826833073	0.06786271450858035
AKR1A1	YJR096W	test	0	0.056162246489859596	0.4157566302652106	0.5982839313572543
AKR1C1	YJR096W	test	1	0.999219968798752	0.9758190327613104	0.5858034321372855
AKR1C2	YJR096W	test	2	0.640405616224649	0.20436817472698907	0.10764430577223089
AKR1E2	YJR096W	test	3	0.48127925117004683	0.8135725429017161	0.41809672386895474
ALX1	YDR451C	test	4	0.6388455538221529	0.8229329173166927	0.8666146645865834
ALX1	YML027W	test	4	0.9633385335413417	0.9968798751950078	0.8003120124804992
ALX3	YDR451C	test	0	0.5616224648985959	0.6107644305772231	0.5499219968798752
ALX3	YML027W	test	0	0.38923556942277693	0.23556942277691106	0.4500780031201248
ANAPC10	YGL240W	test	1	0.9095163806552262	0.6700468018720749	0.7425897035881436
ANKZF1	YDR049W	test	2	0.32761310452418096	0.782371294851794	0.6482059282371295
APEX2	YBL019W	train	3	0.609204368174727	0.6747269890795632	0.15600624024961
AR	YJR096W	test	4	0.6872074882995319	0.8361934477379095	0.953198127925117
ARF1	YMR138W	train	0	0.6107644305772231	0.06708268330733229	0.1544461778471139
ARF3	YMR138W	train	1	0.10530421216848673	0.44383775351014043	1.0
ARF4	YMR138W	train	2	0.8689547581903276	0.5912636505460218	0.4703588143525741
ARF5	YMR138W	train	3	0.985179407176287	0.9609984399375975	0.6926677067082684
ARF6	YMR138W	train	4	0.8400936037441498	0.983619344773791	0.6653666146645866
ARFGAP3	YNL204C	train	0	0.18486739469578783	0.05850234009360374	0.10452418096723869
ARHGDIA	YDL135C	train	1	0.48829953198127923	0.8291731669266771	0.6107644305772231
ARHGDIB	YDL135C	train	2	0.6950078003120125	0.7199687987519501	0.9383775351014041
ARIH1	YKR017C	train	3	0.8120124804992199	0.14040561622464898	0.10998439937597504
ARIH2	YKR017C	train	4	0.0748829953198128	0.02418096723868955	0.8369734789391575
ARL1	YMR138W	train	0	0.6497659906396256	0.1060842433697348	0.7285491419656787
ARL11	YMR138W	train	1	0.5850234009360374	0.30577223088923555	0.9664586583463338
ARL3	YMR138W	train	2	0.827613104524181	0.18174726989079562	0.13338533541341654
ARL4A	YMR138W	train	3	0.6684867394695788	0.7675507020280812	0.9882995319812793
ARL4D	YMR138W	train	4	0.23634945397815912	0.036661466458658344	0.5140405616224649
ARL5A	YMR138W	train	0	0.8463338533541341	0.9430577223088924	0.24024960998439937
ARL5B	YMR138W	train	1	0.45865834633385333	0.2121684867394696	0.6185647425897036
ASF1A	YJL115W	train	2	0.3213728549141966	0.6209048361934477	0.12636505460218408
ASF1B	YJL115W	train	3	0.14430577223088922	0.2667706708268331	0.12870514820592824
